,0
0,7439380.0
1,1473948.75
2,1938427.5
3,2538112.5
4,1276220.0
5,2240282.5
6,3347911.25
7,2641557.5
8,3858828.75
9,8267220.5
10,3251050.5
11,1308505.5
12,2325755.0
13,1150772.5
14,1747647.5
15,2532210.0
16,1931747.5
17,1750141.25
18,3265288.75
19,5699639.25
20,3929967.5
21,2962159.25
22,2823565.0
23,3364772.5
24,3460297.5
25,3758952.5
26,3176061.25
27,2959450.0
28,3331970.5
29,1548345.0
30,3566396.25
31,2460759.25
32,2261381.25
33,1787771.25
34,3532361.25
35,4267786.25
36,4411323.75
37,2060833.9999999998
38,4952965.25
39,2787513.75
40,2368290.0
41,2384671.5
42,4363994.0
43,4289447.5
44,2719631.25
45,1816873.75
46,5059006.25
47,2667445.0
48,2636487.5
49,1940483.0
50,4882073.75
51,2484980.0
52,4102172.75
53,3261011.25
54,3512665.0
55,4983920.0
56,5685967.5
57,3935513.75
58,4194141.25
59,4139844.9999999995
60,4625348.75
61,2849798.0
62,1999948.0
63,4029517.5
64,3060013.75
65,6019806.25
66,4851335.0
67,3709055.0
68,5436647.5
69,4315188.0
70,4228692.5
71,4808448.75
72,3915986.75
73,3136908.75
74,2189041.25
75,4611872.5
76,7515590.5
77,7703432.5
78,6257846.25
79,7022400.0
80,5826213.75
81,8044976.250000001
82,5814316.25
83,3439795.0
84,3306883.75
85,2432700.0
86,1316216.25
87,2062004.9999999998
88,2380022.5
89,2698340.0
90,1745430.5
91,2557715.0
92,3425372.5
93,3250088.75
94,2342009.0
95,7799239.0
96,5399262.5
97,4519147.75
98,6370809.0
99,3193802.5
100,3663841.25
101,3434505.0
102,1839982.5
103,1849816.25
104,3071432.5
105,4498549.25
106,7715866.75
107,7266551.25
108,2303988.75
109,1982833.75
110,1103625.0
111,2835511.25
112,3018703.0
113,2661901.25
114,3289320.0
115,4399070.0
116,5225688.75
117,5223811.75
118,2483841.25
119,5576429.25
120,5810971.25
121,5422720.0
122,5733362.5
123,6036372.5
124,5348931.75
125,5414457.5
126,5486185.5
127,6022310.0
128,7493156.25
129,7648878.75
130,6481382.5
131,4453996.5
132,3231248.75
133,2402516.25
134,2370790.0
135,1044614.9999999999
136,986445.5
137,1630296.25
138,1844733.0
139,292545.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
