,0
0,19821152.5
1,4425155.0
2,5817420.0
3,7618172.5
4,3830651.25
5,6718180.0
6,10058363.75
7,7931756.5
8,11573242.75
9,24806096.25
10,9721245.0
11,3919967.5
12,6977878.75
13,3452475.25
14,5243865.0
15,7599380.25
16,5793503.75
17,5263482.5
18,9801943.75
19,17099440.25
20,11795466.25
21,8868325.0
22,8458295.25
23,10086605.0
24,10367762.5
25,11261871.5
26,9515701.25
27,8874517.5
28,9992131.25
29,4638750.0
30,10682500.0
31,7379372.5
32,6766697.75
33,5347018.75
34,10600260.0
35,12816848.75
36,13225626.25
37,6185114.000000001
38,14861364.0
39,8367170.0
40,7099343.75
41,7170633.75
42,13107702.75
43,12889575.0
44,8162418.0
45,5445000.0
46,15197500.0
47,7117500.0
48,7497815.0
49,6185830.0
50,18168987.75
51,12354056.25
52,11432000.5
53,10283750.0
54,12198750.0
55,9754175.0
56,11023474.0
57,15847043.75
58,15250846.25
59,8498456.25
60,13665000.0
61,8542500.0
62,6000458.0
63,12092511.25
64,9197275.0
65,18036393.75
66,14546856.25
67,11149160.0
68,16315000.0
69,12950228.0
70,12675000.0
71,14417011.25
72,11751396.5
73,9424843.75
74,6573342.5
75,13856420.0
76,22548864.0
77,23132890.0
78,18794772.5
79,21099538.75
80,17493626.25
81,24143750.0
82,17460460.0
83,10340000.0
84,9928986.25
85,7306911.25
86,3953138.75
87,6179783.75
88,7132500.0
89,8080228.0
90,5235000.0
91,7675000.0
92,10277728.0
93,9754953.75
94,7011746.25
95,23401121.5
96,16207614.0
97,13570000.0
98,19101250.0
99,9585000.0
100,14435000.0
101,8727500.0
102,5534433.75
103,9852368.75
104,12065000.0
105,19920000.0
106,17767500.0
107,11760000.0
108,6916250.0
109,5948750.0
110,6622960.0
111,8677177.5
112,8174013.75
113,7112891.25
114,8180000.0
115,13193750.0
116,15670000.0
117,15662960.0
118,14838750.0
119,15115781.25
120,13376742.5
121,14488750.0
122,17207500.0
123,18122500.0
124,16067960.0
125,16236250.0
126,16418750.0
127,18054941.25
128,22485078.75
129,22927500.0
130,19442500.0
131,13351710.0
132,9698750.0
133,7203750.0
134,7106297.5
135,3133267.5
136,2960471.25
137,4892792.5
138,5530228.0
139,880000.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
