,0
0,5321600.0
1,1476065.25
2,1938942.5
3,2543775.0
4,1280078.75
5,2241440.0
6,3359808.75
7,2650896.75
8,3867831.25
9,8279845.0
10,3246038.0
11,1308786.25
12,2330996.75
13,1151417.5
14,1750445.0
15,2532927.5
16,1936987.5
17,1759073.75
18,3277702.5
19,5710185.5
20,3936651.25
21,2961322.5
22,2825811.25
23,3370514.0
24,3460200.0
25,3761136.25
26,3176706.25
27,2958450.0
28,3334326.5
29,1549966.5
30,3563175.0
31,2464371.25
32,2256362.5
33,1783398.75
34,3536583.75
35,4279588.0
36,4413952.5
37,2063807.4999999998
38,4957641.25
39,1543504.25
40,2430640.0
41,2378353.75
42,3380585.0
43,4334632.5
44,3511838.75
45,2270116.25
46,3443663.75
47,2534833.0
48,2676433.0
49,2647643.0
50,1943985.0
51,4891850.0
52,4980250.0
53,3241247.5
54,3287273.75
55,7038140.0
56,2937991.25
57,5146523.75
58,5566617.5
59,4144798.0
60,4638147.5
61,2848769.25
62,1999626.25
63,4033985.0
64,3073708.75
65,6019350.0
66,4844421.25
67,3715878.75
68,5437900.0
69,4315574.25
70,4226153.75
71,4806938.75
72,3919682.5
73,3143948.75
74,2189786.75
75,4627307.5
76,7528540.0
77,7709315.0
78,6263886.25
79,7035033.0
80,5832801.25
81,8047578.75
82,5815278.75
83,3446630.0
84,3310035.0
85,2437076.25
86,1317243.75
87,2059996.5
88,2382064.0
89,2695851.5
90,1747247.75
91,2566270.0
92,3430361.25
93,3257068.75
94,2341120.0
95,7802566.25
96,5410713.75
97,4524752.5
98,6369822.5
99,1684610.0
100,3347573.0
101,3555781.75
102,2644783.75
103,1845975.0
104,2463611.25
105,3788927.5
106,6114821.25
107,6408537.5
108,4728341.25
109,2306336.25
110,1984085.5
111,2208036.25
112,3478911.25
113,2577850.0
114,2759268.0
115,3827823.75
116,4978840.5
117,5487778.75
118,4977136.25
119,5575975.0
120,5825402.5
121,5433522.5
122,5743456.75
123,6048632.75
124,5360471.25
125,5421751.25
126,5484640.0
127,6024107.5
128,7496563.0
129,7656206.25
130,6490779.25
131,4452210.0
132,3240894.25
133,2405737.5
134,2372431.75
135,1044487.4999999999
136,986470.0
137,1634246.25
138,1845533.75
139,297270.0
140,228.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
