,0
0,10639533.75
1,2951342.5
2,3878015.0
3,5084457.5
4,2559262.5
5,4490308.75
6,6715826.25
7,5297085.0
8,7729817.5
9,16552048.0
10,6486722.5
11,2617960.25
12,4666205.0
13,2305498.75
14,3499886.25
15,5070272.5
16,3873390.0
17,3516936.75
18,6549557.5
19,11418741.25
20,7870215.0
21,5922448.0
22,5649600.0
23,6738182.5
24,6928891.25
25,7522963.0
26,6351612.5
27,5923458.75
28,6668530.0
29,3098551.25
30,7131176.25
31,4927031.5
32,4514025.25
33,3574380.25
34,7082021.5
35,8560585.0
36,8829832.5
37,4128728.75
38,9924961.25
39,5593047.5
40,4738675.0
41,4791890.0
42,8752782.5
43,8603321.25
44,2727685.0
45,4543483.75
46,6889456.25
47,7745426.25
48,5322291.25
49,4594591.25
50,6839085.5
51,9574536.25
52,5274937.75
53,6490606.25
54,6584773.75
55,14084586.25
56,5870832.5
57,10287631.75
58,11120300.0
59,8275951.249999999
60,9267002.5
61,5695931.25
62,4000340.5
63,8070640.0
64,6143887.5
65,12040177.5
66,9692506.25
67,7434108.0
68,10887571.25
69,8638542.5
70,8460735.0
71,9623321.25
72,7846195.0
73,6288025.0
74,4390432.5
75,9257030.5
76,15049368.75
77,15421078.0
78,12543408.75
79,14077495.0
80,11666347.5
81,16097766.25
82,11648305.0
83,6891082.5
84,6626115.0
85,4875700.0
86,2636925.0
87,4124897.7499999995
88,4762328.0
89,5392642.75
90,3492986.25
91,5124761.25
92,6864006.25
93,6512982.5
94,4677480.0
95,15616147.5
96,10816091.25
97,9044178.75
98,12741614.25
99,6395161.25
100,7332401.25
101,6882078.75
102,3682254.25
103,3704647.5
104,3569043.75
105,7073125.0
106,12215080.0
107,15002581.25
108,9591424.25
109,4292167.5
110,4191475.0
111,5684173.75
112,3476935.0
113,5149683.75
114,5516540.0
115,7663081.75
116,9960120.0
117,10966070.0
118,9938744.25
119,11143206.25
120,11636727.5
121,10860880.0
122,11478131.25
123,12089951.25
124,10714992.5
125,10839643.75
126,10958745.0
127,12039400.0
128,14988769.0
129,15303992.5
130,12979777.5
131,8902026.25
132,6468571.25
133,4805362.75
134,4741225.25
135,2088202.4999999998
136,1974551.25
137,3264453.75
138,3686989.25
139,587400.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
